"","inspectiondate","vios_day"
"1",2018-01-01,3
"2",2018-01-02,11
"3",2018-01-03,83
"4",2018-01-04,18
"5",2018-01-05,33
"6",2018-01-06,42
"7",2018-01-07,16
"8",2018-01-08,20
"9",2018-01-09,62
"10",2018-01-10,49
"11",2018-01-11,53
"12",2018-01-12,52
"13",2018-01-13,15
"14",2018-01-14,9
"15",2018-01-16,15
"16",2018-01-17,64
"17",2018-01-18,59
"18",2018-01-19,41
"19",2018-01-20,24
"20",2018-01-21,4
"21",2018-01-22,10
"22",2018-01-23,67
"23",2018-01-24,21
"24",2018-01-25,28
"25",2018-01-26,32
"26",2018-01-27,30
"27",2018-01-28,20
"28",2018-01-29,30
"29",2018-01-30,57
"30",2018-01-31,34
"31",2018-02-01,46
"32",2018-02-02,54
"33",2018-02-03,8
"34",2018-02-04,4
"35",2018-02-05,35
"36",2018-02-06,37
"37",2018-02-07,32
"38",2018-02-08,56
"39",2018-02-09,16
"40",2018-02-10,31
"41",2018-02-11,8
"42",2018-02-12,36
"43",2018-02-13,62
"44",2018-02-14,58
"45",2018-02-15,26
"46",2018-02-16,31
"47",2018-02-17,35
"48",2018-02-18,11
"49",2018-02-20,16
"50",2018-02-21,32
"51",2018-02-22,99
"52",2018-02-23,20
"53",2018-02-24,39
"54",2018-02-25,15
"55",2018-02-26,31
"56",2018-02-27,89
"57",2018-02-28,36
"58",2018-03-01,38
"59",2018-03-02,57
"60",2018-03-03,29
"61",2018-03-04,7
"62",2018-03-05,41
"63",2018-03-06,52
"64",2018-03-07,26
"65",2018-03-08,48
"66",2018-03-09,39
"67",2018-03-10,30
"68",2018-03-11,7
"69",2018-03-12,44
"70",2018-03-13,33
"71",2018-03-14,34
"72",2018-03-15,45
"73",2018-03-16,39
"74",2018-03-17,11
"75",2018-03-18,16
"76",2018-03-19,15
"77",2018-03-20,24
"78",2018-03-21,31
"79",2018-03-22,26
"80",2018-03-23,37
"81",2018-03-24,19
"82",2018-03-25,12
"83",2018-03-26,26
"84",2018-03-27,40
"85",2018-03-28,18
"86",2018-03-29,19
"87",2018-03-30,41
"88",2018-03-31,5
"89",2018-04-01,16
"90",2018-04-02,31
"91",2018-04-03,20
"92",2018-04-04,55
"93",2018-04-05,22
"94",2018-04-06,13
"95",2018-04-07,7
"96",2018-04-08,15
"97",2018-04-09,26
"98",2018-04-10,60
"99",2018-04-11,26
"100",2018-04-12,23
"101",2018-04-13,42
"102",2018-04-14,18
"103",2018-04-15,21
"104",2018-04-16,7
"105",2018-04-17,14
"106",2018-04-18,55
"107",2018-04-19,41
"108",2018-04-20,14
"109",2018-04-21,10
"110",2018-04-22,8
"111",2018-04-23,44
"112",2018-04-24,44
"113",2018-04-25,51
"114",2018-04-26,36
"115",2018-04-27,37
"116",2018-04-28,5
"117",2018-04-29,17
"118",2018-04-30,16
"119",2018-05-01,37
"120",2018-05-02,66
"121",2018-05-03,32
"122",2018-05-04,34
"123",2018-05-05,2
"124",2018-05-06,16
"125",2018-05-07,22
"126",2018-05-08,40
"127",2018-05-09,29
"128",2018-05-10,35
"129",2018-05-11,33
"130",2018-05-12,24
"131",2018-05-13,6
"132",2018-05-14,37
"133",2018-05-15,35
"134",2018-05-16,50
"135",2018-05-17,34
"136",2018-05-18,35
"137",2018-05-19,21
"138",2018-05-20,16
"139",2018-05-21,46
"140",2018-05-22,19
"141",2018-05-23,30
"142",2018-05-24,32
"143",2018-05-25,33
"144",2018-05-26,6
"145",2018-05-27,12
"146",2018-05-29,19
"147",2018-05-30,34
"148",2018-05-31,31
"149",2018-06-01,36
"150",2018-06-02,20
"151",2018-06-03,18
"152",2018-06-04,40
"153",2018-06-05,26
"154",2018-06-06,28
"155",2018-06-07,41
"156",2018-06-08,23
"157",2018-06-09,6
"158",2018-06-10,15
"159",2018-06-11,41
"160",2018-06-12,38
"161",2018-06-13,32
"162",2018-06-14,32
"163",2018-06-15,30
"164",2018-06-16,20
"165",2018-06-17,1
"166",2018-06-18,28
"167",2018-06-19,46
"168",2018-06-20,28
"169",2018-06-21,17
"170",2018-06-22,12
"171",2018-06-23,23
"172",2018-06-24,21
"173",2018-06-25,33
"174",2018-06-26,12
"175",2018-06-27,34
"176",2018-06-28,34
"177",2018-06-29,32
"178",2018-06-30,20
"179",2018-07-01,19
"180",2018-07-02,46
"181",2018-07-03,37
"182",2018-07-04,9
"183",2018-07-05,11
"184",2018-07-06,34
"185",2018-07-07,26
"186",2018-07-08,14
"187",2018-07-09,67
"188",2018-07-10,43
"189",2018-07-11,39
"190",2018-07-12,12
"191",2018-07-13,16
"192",2018-07-14,8
"193",2018-07-15,7
"194",2018-07-16,29
"195",2018-07-17,53
"196",2018-07-18,40
"197",2018-07-19,21
"198",2018-07-20,17
"199",2018-07-21,25
"200",2018-07-22,6
"201",2018-07-23,35
"202",2018-07-24,45
"203",2018-07-25,32
"204",2018-07-26,24
"205",2018-07-27,33
"206",2018-07-28,17
"207",2018-07-29,10
"208",2018-07-30,45
"209",2018-07-31,43
"210",2018-08-01,45
"211",2018-08-02,26
"212",2018-08-03,27
"213",2018-08-04,32
"214",2018-08-05,16
"215",2018-08-06,7
"216",2018-08-07,21
"217",2018-08-08,52
"218",2018-08-09,49
"219",2018-08-10,21
"220",2018-08-11,32
"221",2018-08-12,5
"222",2018-08-13,9
"223",2018-08-14,103
"224",2018-08-15,57
"225",2018-08-16,36
"226",2018-08-17,63
"227",2018-08-18,26
"228",2018-08-19,7
"229",2018-08-20,23
"230",2018-08-21,95
"231",2018-08-22,56
"232",2018-08-23,41
"233",2018-08-24,21
"234",2018-08-25,40
"235",2018-08-26,7
"236",2018-08-27,9
"237",2018-08-28,59
"238",2018-08-29,74
"239",2018-08-30,29
"240",2018-08-31,72
"241",2018-09-01,17
"242",2018-09-02,10
"243",2018-09-03,5
"244",2018-09-04,29
"245",2018-09-05,85
"246",2018-09-06,50
"247",2018-09-07,33
"248",2018-09-08,45
"249",2018-09-09,18
"250",2018-09-10,29
"251",2018-09-11,47
"252",2018-09-12,71
"253",2018-09-13,59
"254",2018-09-14,21
"255",2018-09-15,42
"256",2018-09-16,7
"257",2018-09-17,21
"258",2018-09-18,31
"259",2018-09-19,49
"260",2018-09-20,43
"261",2018-09-21,73
"262",2018-09-22,67
"263",2018-09-23,11
"264",2018-09-24,35
"265",2018-09-25,79
"266",2018-09-26,54
"267",2018-09-27,27
"268",2018-09-28,58
"269",2018-09-29,34
"270",2018-09-30,17
"271",2018-10-01,20
"272",2018-10-02,57
"273",2018-10-03,38
"274",2018-10-04,44
"275",2018-10-05,38
"276",2018-10-06,21
"277",2018-10-07,9
"278",2018-10-08,15
"279",2018-10-09,15
"280",2018-10-10,81
"281",2018-10-11,47
"282",2018-10-12,47
"283",2018-10-13,70
"284",2018-10-14,2
"285",2018-10-15,30
"286",2018-10-16,53
"287",2018-10-17,64
"288",2018-10-18,29
"289",2018-10-19,32
"290",2018-10-20,12
"291",2018-10-21,6
"292",2018-10-22,32
"293",2018-10-23,37
"294",2018-10-24,51
"295",2018-10-25,33
"296",2018-10-26,86
"297",2018-10-27,12
"298",2018-10-28,15
"299",2018-10-29,9
"300",2018-10-30,67
"301",2018-10-31,73
"302",2018-11-01,65
"303",2018-11-02,66
"304",2018-11-03,36
"305",2018-11-04,21
"306",2018-11-05,18
"307",2018-11-06,120
"308",2018-11-07,34
"309",2018-11-08,101
"310",2018-11-09,78
"311",2018-11-10,30
"312",2018-11-11,3
"313",2018-11-13,41
"314",2018-11-14,91
"315",2018-11-15,107
"316",2018-11-16,26
"317",2018-11-17,10
"318",2018-11-18,13
"319",2018-11-19,34
"320",2018-11-20,94
"321",2018-11-21,46
"322",2018-11-22,34
"323",2018-11-23,46
"324",2018-11-24,18
"325",2018-11-25,7
"326",2018-11-26,47
"327",2018-11-27,95
"328",2018-11-28,103
"329",2018-11-29,40
"330",2018-11-30,31
"331",2018-12-01,31
"332",2018-12-02,13
"333",2018-12-03,23
"334",2018-12-04,130
"335",2018-12-05,82
"336",2018-12-06,37
"337",2018-12-07,90
"338",2018-12-08,11
"339",2018-12-09,26
"340",2018-12-10,37
"341",2018-12-11,78
"342",2018-12-12,67
"343",2018-12-13,54
"344",2018-12-14,43
"345",2018-12-15,31
"346",2018-12-16,3
"347",2018-12-17,42
"348",2018-12-18,61
"349",2018-12-19,80
"350",2018-12-20,32
"351",2018-12-21,56
"352",2018-12-22,17
"353",2018-12-23,4
"354",2018-12-24,14
"355",2018-12-25,9
"356",2018-12-26,65
"357",2018-12-27,64
"358",2018-12-28,72
"359",2018-12-29,25
"360",2018-12-30,14
"361",2018-12-31,26
"362",2019-01-01,3
"363",2019-01-02,80
"364",2019-01-03,44
"365",2019-01-04,46
"366",2019-01-05,25
"367",2019-01-06,17
"368",2019-01-07,54
"369",2019-01-08,46
"370",2019-01-09,74
"371",2019-01-10,51
"372",2019-01-11,21
"373",2019-01-12,5
"374",2019-01-13,31
"375",2019-01-14,26
"376",2019-01-15,40
"377",2019-01-16,47
"378",2019-01-17,28
"379",2019-01-18,17
"380",2019-01-19,15
"381",2019-01-20,20
"382",2019-01-21,3
"383",2019-01-22,25
"384",2019-01-23,52
"385",2019-01-24,46
"386",2019-01-25,47
"387",2019-01-26,44
"388",2019-01-27,21
"389",2019-01-28,41
"390",2019-01-29,31
"391",2019-01-30,53
"392",2019-01-31,80
"393",2019-02-01,48
"394",2019-02-02,34
"395",2019-02-03,10
"396",2019-02-04,33
"397",2019-02-05,92
"398",2019-02-06,74
"399",2019-02-07,36
"400",2019-02-08,49
"401",2019-02-09,36
"402",2019-02-10,27
"403",2019-02-11,75
"404",2019-02-12,50
"405",2019-02-13,58
"406",2019-02-14,45
"407",2019-02-15,31
"408",2019-02-16,12
"409",2019-02-17,14
"410",2019-02-19,46
"411",2019-02-20,68
"412",2019-02-21,31
"413",2019-02-22,56
"414",2019-02-23,20
"415",2019-02-24,19
"416",2019-02-25,43
"417",2019-02-26,43
"418",2019-02-27,41
"419",2019-02-28,36
"420",2019-03-01,61
"421",2019-03-02,6
"422",2019-03-03,17
"423",2019-03-04,36
"424",2019-03-05,27
"425",2019-03-06,66
"426",2019-03-07,20
"427",2019-03-08,46
"428",2019-03-09,18
"429",2019-03-10,5
"430",2019-03-11,39
"431",2019-03-12,49
"432",2019-03-13,76
"433",2019-03-14,45
"434",2019-03-15,25
"435",2019-03-16,12
"436",2019-03-17,12
"437",2019-03-18,30
"438",2019-03-19,56
"439",2019-03-20,52
"440",2019-03-21,72
"441",2019-03-22,57
"442",2019-03-23,25
"443",2019-03-24,19
"444",2019-03-25,51
"445",2019-03-26,44
"446",2019-03-27,65
"447",2019-03-28,28
"448",2019-03-29,23
"449",2019-03-30,18
"450",2019-03-31,28
"451",2019-04-01,44
"452",2019-04-02,58
"453",2019-04-03,44
"454",2019-04-04,35
"455",2019-04-05,36
"456",2019-04-06,10
"457",2019-04-07,19
"458",2019-04-08,41
"459",2019-04-09,30
"460",2019-04-10,66
"461",2019-04-11,55
"462",2019-04-12,48
"463",2019-04-13,18
"464",2019-04-14,17
"465",2019-04-15,48
"466",2019-04-16,57
"467",2019-04-17,32
"468",2019-04-18,48
"469",2019-04-19,54
"470",2019-04-20,11
"471",2019-04-21,11
"472",2019-04-22,42
"473",2019-04-23,62
"474",2019-04-24,96
"475",2019-04-25,18
"476",2019-04-26,28
"477",2019-04-27,14
"478",2019-04-28,11
"479",2019-04-29,55
"480",2019-04-30,52
"481",2019-05-01,47
"482",2019-05-02,52
"483",2019-05-03,58
"484",2019-05-04,14
"485",2019-05-05,22
"486",2019-05-06,30
"487",2019-05-07,43
"488",2019-05-08,47
"489",2019-05-09,51
"490",2019-05-10,35
"491",2019-05-11,15
"492",2019-05-12,6
"493",2019-05-13,38
"494",2019-05-14,55
"495",2019-05-15,93
"496",2019-05-16,51
"497",2019-05-17,52
"498",2019-05-18,12
"499",2019-05-19,12
"500",2019-05-20,59
"501",2019-05-21,29
"502",2019-05-22,39
"503",2019-05-23,44
"504",2019-05-24,84
"505",2019-05-25,19
"506",2019-05-26,13
"507",2019-05-28,21
"508",2019-05-29,42
"509",2019-05-30,38
"510",2019-05-31,53
"511",2019-06-01,9
"512",2019-06-02,10
"513",2019-06-03,41
"514",2019-06-04,51
"515",2019-06-05,57
"516",2019-06-06,26
"517",2019-06-07,34
"518",2019-06-08,19
"519",2019-06-09,9
"520",2019-06-10,60
"521",2019-06-11,26
"522",2019-06-12,81
"523",2019-06-13,51
"524",2019-06-14,72
"525",2019-06-15,23
"526",2019-06-16,8
"527",2019-06-17,18
"528",2019-06-18,50
"529",2019-06-19,46
"530",2019-06-20,25
"531",2019-06-21,42
"532",2019-06-22,16
"533",2019-06-23,13
"534",2019-06-24,30
"535",2019-06-25,32
"536",2019-06-26,58
"537",2019-06-27,62
"538",2019-06-28,39
"539",2019-06-29,5
"540",2019-06-30,7
"541",2019-07-01,46
"542",2019-07-02,53
"543",2019-07-03,50
"544",2019-07-05,39
"545",2019-07-06,20
"546",2019-07-07,11
"547",2019-07-08,69
"548",2019-07-09,35
"549",2019-07-10,61
"550",2019-07-11,15
"551",2019-07-12,55
"552",2019-07-13,12
"553",2019-07-14,19
"554",2019-07-15,64
"555",2019-07-16,97
"556",2019-07-17,47
"557",2019-07-18,37
"558",2019-07-19,39
"559",2019-07-20,25
"560",2019-07-21,17
"561",2019-07-22,53
"562",2019-07-23,45
"563",2019-07-24,59
"564",2019-07-25,44
"565",2019-07-26,25
"566",2019-07-27,10
"567",2019-07-28,12
"568",2019-07-29,63
"569",2019-07-30,32
"570",2019-07-31,53
"571",2019-08-01,28
"572",2019-08-02,43
"573",2019-08-03,36
"574",2019-08-04,15
"575",2019-08-05,39
"576",2019-08-06,25
"577",2019-08-07,24
"578",2019-08-08,64
"579",2019-08-09,39
"580",2019-08-10,31
"581",2019-08-11,9
"582",2019-08-12,34
"583",2019-08-13,36
"584",2019-08-14,55
"585",2019-08-15,36
"586",2019-08-16,29
"587",2019-08-17,15
"588",2019-08-18,19
"589",2019-08-19,24
"590",2019-08-20,47
"591",2019-08-21,48
"592",2019-08-22,41
"593",2019-08-23,35
"594",2019-08-24,9
"595",2019-08-25,28
"596",2019-08-26,58
"597",2019-08-27,67
"598",2019-08-28,86
"599",2019-08-29,30
"600",2019-08-30,37
"601",2019-08-31,14
"602",2019-09-01,18
"603",2019-09-02,2
"604",2019-09-03,38
"605",2019-09-04,86
"606",2019-09-05,34
"607",2019-09-06,51
"608",2019-09-07,7
"609",2019-09-08,28
"610",2019-09-09,30
"611",2019-09-10,53
"612",2019-09-11,50
"613",2019-09-12,44
"614",2019-09-13,52
"615",2019-09-14,8
"616",2019-09-15,31
"617",2019-09-16,27
"618",2019-09-17,35
"619",2019-09-18,70
"620",2019-09-19,40
"621",2019-09-20,37
"622",2019-09-21,31
"623",2019-09-22,23
"624",2019-09-23,40
"625",2019-09-24,49
"626",2019-09-25,63
"627",2019-09-26,42
"628",2019-09-27,54
"629",2019-09-28,26
"630",2019-09-29,24
"631",2019-09-30,35
"632",2019-10-01,40
"633",2019-10-02,44
"634",2019-10-03,37
"635",2019-10-04,96
"636",2019-10-05,40
"637",2019-10-06,10
"638",2019-10-07,35
"639",2019-10-08,26
"640",2019-10-09,85
"641",2019-10-10,30
"642",2019-10-11,27
"643",2019-10-12,13
"644",2019-10-13,7
"645",2019-10-15,19
"646",2019-10-16,35
"647",2019-10-17,56
"648",2019-10-18,27
"649",2019-10-19,8
"650",2019-10-20,9
"651",2019-10-21,28
"652",2019-10-22,51
"653",2019-10-23,56
"654",2019-10-24,74
"655",2019-10-25,36
"656",2019-10-26,14
"657",2019-10-27,15
"658",2019-10-28,38
"659",2019-10-29,65
"660",2019-10-30,59
"661",2019-10-31,34
"662",2019-11-01,4
"663",2019-11-02,31
"664",2019-11-03,21
"665",2019-11-04,28
"666",2019-11-05,12
"667",2019-11-06,52
"668",2019-11-07,45
"669",2019-11-08,42
"670",2019-11-09,32
"671",2019-11-10,5
"672",2019-11-11,19
"673",2019-11-12,29
"674",2019-11-13,62
"675",2019-11-14,28
"676",2019-11-15,46
"677",2019-11-16,18
"678",2019-11-17,14
"679",2019-11-18,40
"680",2019-11-19,61
"681",2019-11-20,53
"682",2019-11-21,48
"683",2019-11-22,54
"684",2019-11-23,31
"685",2019-11-24,26
"686",2019-11-25,37
"687",2019-11-26,29
"688",2019-11-27,36
"689",2019-11-28,19
"690",2019-11-29,32
"691",2019-11-30,14
"692",2019-12-01,7
"693",2019-12-02,38
"694",2019-12-03,31
"695",2019-12-04,61
"696",2019-12-05,51
"697",2019-12-06,34
"698",2019-12-07,33
"699",2019-12-08,7
"700",2019-12-09,46
"701",2019-12-10,41
"702",2019-12-11,41
"703",2019-12-12,28
"704",2019-12-13,49
"705",2019-12-14,13
"706",2019-12-15,17
"707",2019-12-16,34
"708",2019-12-17,47
"709",2019-12-18,18
"710",2019-12-19,41
"711",2019-12-20,48
"712",2019-12-21,11
"713",2019-12-22,17
"714",2019-12-23,47
"715",2019-12-24,14
"716",2019-12-26,25
"717",2019-12-27,66
"718",2019-12-28,17
"719",2019-12-29,12
"720",2019-12-30,18
"721",2019-12-31,32
"722",2020-01-02,48
"723",2020-01-03,12
"724",2020-01-04,8
"725",2020-01-05,27
"726",2020-01-06,35
"727",2020-01-07,27
"728",2020-01-08,51
"729",2020-01-09,37
"730",2020-01-10,28
"731",2020-01-11,18
"732",2020-01-12,13
"733",2020-01-13,14
"734",2020-01-14,57
"735",2020-01-15,64
"736",2020-01-16,41
"737",2020-01-17,46
"738",2020-01-18,22
"739",2020-01-19,15
"740",2020-01-20,6
"741",2020-01-21,33
"742",2020-01-22,46
"743",2020-01-23,32
"744",2020-01-24,79
"745",2020-01-25,15
"746",2020-01-26,8
"747",2020-01-27,23
"748",2020-01-28,32
"749",2020-01-29,49
"750",2020-01-30,41
"751",2020-01-31,42
"752",2020-02-01,11
"753",2020-02-02,11
"754",2020-02-03,34
"755",2020-02-04,38
"756",2020-02-05,34
"757",2020-02-06,24
"758",2020-02-07,20
"759",2020-02-08,10
"760",2020-02-09,16
"761",2020-02-10,40
"762",2020-02-11,33
"763",2020-02-12,55
"764",2020-02-13,35
"765",2020-02-14,55
"766",2020-02-15,28
"767",2020-02-16,33
"768",2020-02-17,1
"769",2020-02-18,29
"770",2020-02-19,56
"771",2020-02-20,54
"772",2020-02-21,43
"773",2020-02-22,21
"774",2020-02-23,11
"775",2020-02-24,48
"776",2020-02-25,39
"777",2020-02-26,51
"778",2020-02-27,40
"779",2020-02-28,34
"780",2020-02-29,5
"781",2020-03-01,10
"782",2020-03-02,22
"783",2020-03-03,26
"784",2020-03-04,41
"785",2020-03-05,41
"786",2020-03-06,28
"787",2020-03-07,11
"788",2020-03-08,15
"789",2020-03-09,17
"790",2020-03-10,38
"791",2020-03-11,36
"792",2020-03-12,14
"793",2020-03-13,13
"794",2020-03-14,3
"795",2020-03-15,9
"796",2020-03-16,6
"797",2020-03-17,2
"798",2020-03-19,5
"799",2020-03-20,1
"800",2020-03-23,12
"801",2020-03-24,5
"802",2020-03-25,13
"803",2020-03-28,1
"804",2020-03-30,1
"805",2020-03-31,2
"806",2020-04-03,117
"807",2020-04-11,2
"808",2020-04-14,1
"809",2020-04-16,93
"810",2020-04-17,1
"811",2020-04-21,1
"812",2020-04-22,8
"813",2020-04-23,17
"814",2020-05-04,2
"815",2020-05-15,9
"816",2020-05-18,7
"817",2020-05-19,8
"818",2020-05-20,15
"819",2020-05-21,2
"820",2020-05-23,6
"821",2020-05-24,9
"822",2020-05-25,5
"823",2020-05-26,6
"824",2020-05-27,16
"825",2020-05-28,2
"826",2020-05-29,5
"827",2020-05-30,6
"828",2020-05-31,17
"829",2020-06-01,13
"830",2020-06-02,12
"831",2020-06-03,14
"832",2020-06-04,14
"833",2020-06-05,23
"834",2020-06-06,21
"835",2020-06-07,2
"836",2020-06-08,17
"837",2020-06-09,31
"838",2020-06-10,8
"839",2020-06-11,16
"840",2020-06-12,18
"841",2020-06-13,3
"842",2020-06-15,12
"843",2020-06-16,8
"844",2020-06-17,10
"845",2020-06-18,5
"846",2020-06-19,36
"847",2020-06-20,6
"848",2020-06-21,3
"849",2020-06-22,13
"850",2020-06-23,10
"851",2020-06-24,4
"852",2020-06-25,30
"853",2020-06-26,11
"854",2020-06-27,9
"855",2020-06-28,4
"856",2020-06-29,11
"857",2020-06-30,17
"858",2020-07-01,17
"859",2020-07-02,25
"860",2020-07-03,2
"861",2020-07-04,19
"862",2020-07-05,4
"863",2020-07-06,6
"864",2020-07-07,18
"865",2020-07-08,15
"866",2020-07-09,35
"867",2020-07-10,14
"868",2020-07-11,6
"869",2020-07-12,12
"870",2020-07-13,7
"871",2020-07-14,16
"872",2020-07-15,7
"873",2020-07-16,13
"874",2020-07-17,21
"875",2020-07-18,4
"876",2020-07-19,2
"877",2020-07-20,15
"878",2020-07-21,9
"879",2020-07-22,27
"880",2020-07-23,4
"881",2020-07-24,17
"882",2020-07-25,6
"883",2020-07-26,14
"884",2020-07-27,25
"885",2020-07-28,29
"886",2020-07-29,20
"887",2020-07-30,16
"888",2020-07-31,33
"889",2020-08-01,4
"890",2020-08-02,10
"891",2020-08-03,11
"892",2020-08-04,23
"893",2020-08-05,13
"894",2020-08-06,24
"895",2020-08-07,18
"896",2020-08-08,6
"897",2020-08-09,15
"898",2020-08-10,44
"899",2020-08-11,25
"900",2020-08-12,13
"901",2020-08-13,31
"902",2020-08-14,40
"903",2020-08-15,26
"904",2020-08-16,16
"905",2020-08-17,53
"906",2020-08-18,36
"907",2020-08-19,36
"908",2020-08-20,43
"909",2020-08-21,24
"910",2020-08-22,26
"911",2020-08-23,16
"912",2020-08-24,26
"913",2020-08-25,40
"914",2020-08-26,32
"915",2020-08-27,40
"916",2020-08-28,36
"917",2020-08-29,7
"918",2020-08-30,16
"919",2020-08-31,48
"920",2020-09-01,50
"921",2020-09-02,33
"922",2020-09-03,44
"923",2020-09-04,25
"924",2020-09-05,18
"925",2020-09-06,10
"926",2020-09-07,1
"927",2020-09-08,13
"928",2020-09-09,43
"929",2020-09-10,28
"930",2020-09-11,20
"931",2020-09-12,9
"932",2020-09-13,14
"933",2020-09-14,31
"934",2020-09-15,45
"935",2020-09-16,44
"936",2020-09-17,42
"937",2020-09-18,48
"938",2020-09-19,36
"939",2020-09-20,23
"940",2020-09-21,28
"941",2020-09-22,49
"942",2020-09-23,36
"943",2020-09-24,27
"944",2020-09-25,23
"945",2020-09-26,13
"946",2020-09-27,8
"947",2020-09-28,32
"948",2020-09-29,22
"949",2020-09-30,39
"950",2020-10-01,18
"951",2020-10-02,30
